,date,open,close,high,low,volume,code
314,2020-06-18,42.25,42.51,43.32,41.74,237822.0,300014
315,2020-06-19,43.2,43.8,45.1,43.16,477675.0,300014
316,2020-06-22,44.15,44.47,45.06,43.6,302318.0,300014
317,2020-06-23,44.48,44.8,45.42,44.3,270430.0,300014
318,2020-06-24,44.46,44.38,44.95,44.02,207016.0,300014
319,2020-06-29,45.01,47.55,48.48,44.48,467082.0,300014
320,2020-06-30,47.61,47.85,48.0,47.11,287861.0,300014
321,2020-07-01,47.8,47.35,49.92,46.77,335561.0,300014
322,2020-07-02,47.5,46.16,48.17,45.8,408802.0,300014
323,2020-07-03,46.86,47.12,47.83,46.37,332967.0,300014
324,2020-07-06,48.0,48.72,49.16,47.3,559590.0,300014
325,2020-07-07,50.18,53.59,53.59,50.18,500287.0,300014
326,2020-07-08,55.5,55.68,57.0,52.4,655531.0,300014
327,2020-07-09,55.0,60.0,60.0,53.92,628787.0,300014
328,2020-07-10,59.0,56.67,59.0,54.87,923319.0,300014
329,2020-07-13,57.3,58.13,58.99,55.5,639944.0,300014
330,2020-07-14,56.7,53.91,56.74,53.1,798465.0,300014
331,2020-07-15,54.7,53.22,55.49,51.01,625774.0,300014
332,2020-07-16,53.41,51.77,55.28,51.48,577104.0,300014
333,2020-07-17,51.8,51.97,52.99,50.26,386848.0,300014
334,2020-07-20,53.06,52.48,53.49,50.71,403129.0,300014
335,2020-07-21,54.1,53.42,54.5,52.69,386990.0,300014
336,2020-07-22,53.95,56.5,56.99,53.52,631243.0,300014
337,2020-07-23,55.9,59.14,60.76,55.6,735514.0,300014
338,2020-07-24,58.66,56.08,60.96,55.71,622553.0,300014
339,2020-07-27,57.0,55.07,57.9,53.95,382091.0,300014
340,2020-07-28,56.05,56.75,56.78,55.25,298410.0,300014
341,2020-07-29,56.6,58.11,58.44,55.06,321421.0,300014
342,2020-07-30,59.0,57.81,59.28,56.95,325830.0,300014
343,2020-07-31,57.81,60.2,60.95,57.75,522475.0,300014
344,2020-08-03,61.51,60.38,61.85,59.59,340474.0,300014
345,2020-08-04,60.3,58.3,61.3,57.88,375186.0,300014
346,2020-08-05,58.33,58.36,58.81,57.44,226943.0,300014
347,2020-08-06,58.56,55.81,58.71,55.49,366762.0,300014
348,2020-08-07,55.95,54.32,56.78,52.89,338234.0,300014
349,2020-08-10,54.0,53.25,54.19,52.37,260803.0,300014
350,2020-08-11,53.9,52.64,54.7,52.51,235865.0,300014
351,2020-08-12,52.84,50.97,53.09,48.5,468783.0,300014
352,2020-08-13,52.0,50.39,52.03,49.92,221284.0,300014
353,2020-08-14,50.77,52.24,52.28,50.1,280363.0,300014
354,2020-08-17,52.5,53.42,53.53,50.5,358146.0,300014
355,2020-08-18,53.42,52.56,53.42,52.11,218775.0,300014
